user_id;venue_id;timestamp;temp;precip;windspeed;preciptype;conditions;number_of_visits
83;4db739d841592dd82ee2b3dd;2018-02-27 23:48:00-05:00;7.4;0.0;10.0;-1;Clear;1
83;4eb90d85722e09311d356915;2018-02-27 22:48:00-05:00;8.4;0.0;12.1;-1;Clear;1
109;3fd66200f964a520daf11ee3;2017-10-28 21:08:00-04:00;17.9;0.0;11.8;-1;Partially cloudy;1
109;49f75667f964a5208b6c1fe3;2017-11-25 21:45:00-05:00;11.8;0.0;12.1;-1;Partially cloudy;1
109;4a411ea5f964a520cba41fe3;2017-12-02 22:58:00-05:00;6.8;0.0;3.4;-1;Partially cloudy;1
109;4b44a049f964a5201cf825e3;2017-11-17 02:59:00-05:00;6.0;0.0;20.9;-1;Partially cloudy;1
109;4bc24023461576b056237d32;2017-10-28 21:03:00-04:00;17.9;0.0;11.8;-1;Partially cloudy;1
109;4bc72ae7af07a593909c7e2d;2017-12-18 17:49:00-05:00;8.0;0.0;12.6;-1;Overcast;1
109;555ba8d9498eae864d326936;2017-11-13 17:52:00-05:00;6.7;0.0;9.3;-1;Clear;1
109;57218ba5498eb662eaa1e121;2017-12-28 20:04:00-05:00;-9.2;0.0;25.2;-1;Clear;2
109;57ab90ca498e7d61e13a6985;2017-11-02 16:26:00-04:00;21.9;0.0;7.1;-1;Clear;1
109;59287ec99cadd905284e4052;2017-10-18 22:14:00-04:00;17.7;0.0;11.6;-1;Clear;1
109;59822ae4e97dfb6a1519825b;2017-10-18 22:32:00-04:00;17.5;0.0;12.6;-1;Clear;1
240;4eb90d85722e09311d356915;2017-12-23 18:17:00-05:00;9.1;0.3;4.2;rain;Rain, Overcast;1
240;58f9ec44eb645b5ea0ecdb64;2017-12-23 19:59:00-05:00;8.2;0.592;12.2;rain;Rain, Overcast;1
432;3fd66200f964a52005e71ee3;2017-10-25 17:12:00-04:00;17.7;0.0;3.3;-1;Partially cloudy;1
432;42893400f964a52054231fe3;2017-11-28 21:00:00-05:00;11.2;0.0;17.2;-1;Clear;1
432;4bab56aff964a5209ea13ae3;2017-11-28 20:29:00-05:00;11.5;0.0;12.5;-1;Clear;1
432;4bc24023461576b056237d32;2018-05-06 23:05:00-04:00;14.3;0.0;3.8;-1;Overcast;3
432;4bc72ae7af07a593909c7e2d;2017-11-04 17:12:00-04:00;12.5;0.0;10.1;-1;Partially cloudy;2
432;4c374bf80a71c9b6f2893ec9;2017-10-25 14:44:00-04:00;18.1;0.0;2.1;-1;Partially cloudy;1
432;50708c91e4b0d7b67f10bcaf;2018-05-06 22:39:00-04:00;14.3;0.0;3.8;-1;Overcast;1
432;57a240f1cd10ed172db51626;2017-11-01 16:37:00-04:00;13.7;0.0;8.8;-1;Partially cloudy;1
463;4165d880f964a5207e1d1fe3;2017-10-12 20:21:00-04:00;16.1;0.0;12.0;-1;Clear;1
463;4a6fa0abf964a520a4d61fe3;2017-10-12 18:45:00-04:00;16.7;0.0;12.9;-1;Clear;1
463;4abe7f9ef964a520068e20e3;2017-10-12 16:19:00-04:00;17.5;0.0;21.0;-1;Partially cloudy;1
463;4eb90d85722e09311d356915;2017-10-12 18:05:00-04:00;16.8;0.0;12.8;-1;Clear;1
463;538a25cb498e3f763f518ab2;2017-10-12 19:04:00-04:00;16.7;0.0;12.9;-1;Clear;1
512;4aad466df964a5206f5f20e3;2017-10-03 20:36:00-04:00;15.9;0.0;8.4;-1;Partially cloudy;1
512;4abe7f9ef964a520068e20e3;2017-10-04 20:45:00-04:00;21.5;0.0;23.1;-1;Clear;1
512;4ae8906ef964a52071b021e3;2017-10-04 19:39:00-04:00;22.0;0.0;13.2;-1;Clear;1
512;4b831a73f964a520d7f730e3;2017-10-04 22:31:00-04:00;20.0;0.0;14.8;-1;Clear;1
741;4b6b5abff964a520fb022ce3;2018-03-03 21:19:00-05:00;5.1;0.0;21.0;-1;Overcast;1
741;4b9146f5f964a52058af33e3;2018-03-03 19:41:00-05:00;5.1;0.0;25.5;-1;Overcast;1
820;4a675deef964a52045c91fe3;2018-10-14 01:06:00-04:00;9.8;0.0;10.7;-1;Clear;1
820;4b0c402af964a520c33923e3;2018-10-13 13:13:00-04:00;11.3;0.0;19.6;-1;Overcast;1
820;4b44c958f964a52026fc25e3;2018-10-14 15:06:00-04:00;14.3;0.0;15.8;-1;Partially cloudy;1
820;4bc24023461576b056237d32;2018-10-13 12:44:00-04:00;11.3;0.0;19.6;-1;Overcast;1
820;50bcb93ae4b0efcb4c84d434;2018-10-14 02:14:00-04:00;9.7;0.0;11.5;-1;Clear;1
820;53eba911498e9b26cc64bdff;2018-10-14 03:12:00-04:00;9.5;0.0;14.0;-1;Clear;1
820;59b8c291a795bd49fe94b6b3;2018-10-14 01:28:00-04:00;9.8;0.0;10.7;-1;Clear;1
