user_id;venue_id;timestamp;temp;precip;windspeed;preciptype;conditions;number_of_visits
279452;579e5513498e9ffc61b6ad8e;2018-06-30 17:11:00-04:00;33.1;0.0;11.3;-1;Clear;1
377926;42893400f964a52054231fe3;2018-06-30 17:40:00-04:00;33.7;0.0;9.2;-1;Clear;1
25006;4b6b5abff964a520fb022ce3;2018-06-30 17:54:00-04:00;33.7;0.0;9.2;-1;Clear;1
25006;4ea82375722e38f634dafc04;2018-06-30 18:16:00-04:00;33.7;0.0;9.2;-1;Clear;1
25006;4a397f7ef964a520839f1fe3;2018-06-30 18:41:00-04:00;33.2;0.0;8.6;-1;Clear;1
25006;4b4cc07ef964a5204abd26e3;2018-06-30 18:43:00-04:00;33.2;0.0;8.6;-1;Clear;1
7712;49d55b3bf964a5208d5c1fe3;2018-06-30 19:48:00-04:00;32.0;0.0;11.3;-1;Clear;2
377926;4a44cd95f964a5208fa71fe3;2018-06-30 20:21:00-04:00;32.0;0.0;11.3;-1;Clear;1
188551;4baae71df964a520118d3ae3;2018-06-30 20:22:00-04:00;32.0;0.0;11.3;-1;Clear;1
27633;4165d880f964a5207e1d1fe3;2018-06-30 20:54:00-04:00;30.9;0.0;11.7;-1;Clear;1
25735;49cf9efbf964a520b05a1fe3;2018-06-30 21:05:00-04:00;30.9;0.0;11.7;-1;Clear;1
27633;559ecd00498e965ccd39ea9f;2018-06-30 22:45:00-04:00;28.8;0.0;4.7;-1;Clear;1
127507;53306dcf11d2599de5a2442f;2018-07-01 00:32:00-04:00;28.7;0.0;8.7;-1;Clear;1
127507;42055e00f964a520671f1fe3;2018-07-01 00:46:00-04:00;28.7;0.0;8.7;-1;Clear;1
152308;5b2d49ad6f706a002c52d50b;2018-07-01 00:56:00-04:00;28.7;0.0;8.7;-1;Clear;1
25735;5748d802498eccc4228c7fd1;2018-07-01 01:11:00-04:00;28.7;0.0;8.7;-1;Clear;11
163501;49f125dcf964a52091691fe3;2018-07-01 03:01:00-04:00;27.5;0.0;6.4;-1;Clear;1
26633;4a607307f964a520c7c01fe3;2018-07-01 13:39:00-04:00;35.0;0.0;9.1;-1;Partially cloudy;1
344144;509fd01de4b070da0a9d3c24;2018-07-01 18:35:00-04:00;32.8;0.0;9.4;-1;Clear;1
41169;56439a7538fa2ce64d09447e;2018-07-01 20:41:00-04:00;31.6;0.0;11.4;-1;Clear;1
163501;4a875b51f964a520110420e3;2018-07-01 22:05:00-04:00;31.5;0.0;11.3;-1;Clear;1
41169;5132b65ae4b02e8709f981dd;2018-07-02 00:16:00-04:00;30.7;0.0;7.3;-1;Clear;1
66057;5b1e8ff161f070002ca87046;2018-07-02 16:39:00-04:00;31.7;0.0;14.9;-1;Clear;1
228368;57583641498e90001a32e13e;2018-07-02 17:17:00-04:00;31.7;0.0;14.9;-1;Clear;1
271582;42893400f964a52054231fe3;2018-07-02 19:02:00-04:00;30.1;0.0;17.7;-1;Clear;1
69865;4abe7f9ef964a520068e20e3;2018-07-02 20:10:00-04:00;28.9;0.0;8.3;-1;Clear;1
234216;507e0b2e011ca7f458d10d2f;2018-07-02 21:22:00-04:00;28.5;0.0;3.6;-1;Clear;1
271582;559ecd00498e965ccd39ea9f;2018-07-02 21:23:00-04:00;28.5;0.0;3.6;-1;Clear;1
228368;41e46880f964a520d41e1fe3;2018-07-03 04:31:00-04:00;26.2;0.0;1.2;-1;Clear;1
378663;5459292b498e72e209527504;2018-07-03 10:49:00-04:00;31.7;0.0;7.1;-1;Clear;1
225164;4abe7f9ef964a520068e20e3;2018-07-03 15:26:00-04:00;29.0;0.145;7.1;rain;Rain, Partially cloudy;1
225164;59b70eb2fd16bb50bdeccf29;2018-07-03 15:36:00-04:00;29.2;0.0;13.3;-1;Partially cloudy;1
225164;431f7f00f964a52085271fe3;2018-07-03 15:51:00-04:00;29.2;0.0;13.3;-1;Partially cloudy;1
26143;504228c7e4b0af4f730be306;2018-07-03 16:48:00-04:00;28.1;0.0;11.0;-1;Partially cloudy;1
225164;3fd66200f964a520d8f11ee3;2018-07-03 17:12:00-04:00;28.1;0.0;11.0;-1;Partially cloudy;1
145633;56c662a3cd1016b386a94236;2018-07-03 17:58:00-04:00;26.8;0.048;4.1;rain;Rain, Partially cloudy;1
225164;42daf100f964a52035261fe3;2018-07-03 17:58:00-04:00;26.8;0.048;4.1;rain;Rain, Partially cloudy;1
26143;4c35de72452620a1ba5d270f;2018-07-03 18:01:00-04:00;26.8;0.048;4.1;rain;Rain, Partially cloudy;1
228368;43334580f964a52013281fe3;2018-07-03 18:06:00-04:00;26.8;0.048;4.1;rain;Rain, Partially cloudy;1
124009;4165d880f964a5207e1d1fe3;2018-07-03 18:53:00-04:00;26.7;0.252;9.6;rain;Rain, Partially cloudy;1
145633;5355a5ca498e506aae75edb7;2018-07-03 19:14:00-04:00;26.7;0.252;9.6;rain;Rain, Partially cloudy;1
225164;4c35de72452620a1ba5d270f;2018-07-03 19:36:00-04:00;26.4;0.0;2.9;-1;Partially cloudy;1
225164;4c2ba1f857a9c9b67138f667;2018-07-03 19:52:00-04:00;26.4;0.0;2.9;-1;Partially cloudy;1
225164;42893400f964a52054231fe3;2018-07-03 20:14:00-04:00;26.4;0.0;2.9;-1;Partially cloudy;1
225164;4bddccbe6198c9b67bb911ff;2018-07-03 20:55:00-04:00;26.5;0.0;3.0;-1;Partially cloudy;1
124009;59b70eb2fd16bb50bdeccf29;2018-07-03 22:57:00-04:00;26.1;0.0;3.3;-1;Partially cloudy;1
212817;519393ce498edf62feac9c12;2018-07-04 00:51:00-04:00;25.8;0.0;3.7;-1;Partially cloudy;1
279674;4abe7f9ef964a520068e20e3;2018-07-04 15:35:00-04:00;28.3;0.0;7.2;-1;Partially cloudy;1
35306;4abe7f9ef964a520068e20e3;2018-07-04 17:16:00-04:00;28.3;0.0;6.1;-1;Partially cloudy;1
279674;4eb90d85722e09311d356915;2018-07-04 17:18:00-04:00;28.3;0.0;6.1;-1;Partially cloudy;1
378941;57acc558498e036ce8f2b0b4;2018-07-04 17:41:00-04:00;28.2;0.0;5.0;-1;Partially cloudy;1
199386;4b6b5abff964a520fb022ce3;2018-07-04 18:48:00-04:00;27.6;0.0;6.2;-1;Overcast;1
121387;5ab51b6aa4b51b3dc096ed68;2018-07-04 19:00:00-04:00;27.6;0.0;6.2;-1;Overcast;1
121387;44f4bc8af964a52037381fe3;2018-07-04 20:25:00-04:00;27.4;0.0;10.3;-1;Partially cloudy;1
378663;4d617fdfb6b9a1cd8d098851;2018-07-04 21:25:00-04:00;26.6;0.0;7.7;-1;Partially cloudy;1
164590;4c374bf80a71c9b6f2893ec9;2018-07-04 22:25:00-04:00;26.5;0.0;7.5;-1;Partially cloudy;1
145633;59287ec99cadd905284e4052;2018-07-04 22:53:00-04:00;26.3;0.0;4.5;-1;Overcast;1
25735;578692f4498e1054905dbde7;2018-07-04 23:14:00-04:00;26.3;0.0;4.5;-1;Overcast;1
362281;4fbbd9ede4b0756c0d4c2364;2018-07-05 14:20:00-04:00;31.2;0.0;8.1;-1;Partially cloudy;1
145633;4d03ae3437036dcbfba10bfb;2018-07-05 16:03:00-04:00;30.4;0.0;15.3;-1;Clear;1
362281;4a3c088df964a5200ba11fe3;2018-07-05 16:59:00-04:00;30.0;0.0;13.1;-1;Clear;1
35306;561b24e5498ec9037e2ed048;2018-07-05 17:14:00-04:00;30.0;0.0;13.1;-1;Clear;1
165427;42893400f964a52054231fe3;2018-07-05 18:08:00-04:00;29.6;0.0;16.6;-1;Clear;1
165427;4a44cd95f964a5208fa71fe3;2018-07-05 19:23:00-04:00;28.8;0.0;14.0;-1;Clear;1
165609;4b996536f964a520467835e3;2018-07-05 22:06:00-04:00;27.6;0.0;7.7;-1;Clear;1
323304;4abe7f9ef964a520068e20e3;2018-07-06 12:46:00-04:00;25.2;0.867;10.2;rain;Rain, Overcast;1
143269;4a2f3322f964a520b6981fe3;2018-07-06 16:33:00-04:00;26.7;0.0;13.8;-1;Partially cloudy;3
323304;576c2212498e72c8c38f1ddd;2018-07-06 17:59:00-04:00;26.9;0.0;18.9;-1;Partially cloudy;1
26104;4cd37295baf2f04dfc22afa3;2018-07-07 00:07:00-04:00;22.0;0.0;11.8;-1;Partially cloudy;1
