trail_id;user_id;venue_id;timestamp;temp;precip;windspeed;preciptype;conditions
1201;83;4eb90d85722e09311d356915;2018-02-27 22:48:00-05:00;8.4;0.0;12.1;;Clear
1201;83;4db739d841592dd82ee2b3dd;2018-02-27 23:48:00-05:00;7.4;0.0;10.0;;Clear
1780;109;59287ec99cadd905284e4052;2017-10-18 22:14:00-04:00;17.7;0.0;11.6;;Clear
1780;109;59822ae4e97dfb6a1519825b;2017-10-18 22:32:00-04:00;17.5;0.0;12.6;;Clear
1789;109;4bc24023461576b056237d32;2017-10-28 21:03:00-04:00;17.9;0.0;11.8;;Partially cloudy
1789;109;3fd66200f964a520daf11ee3;2017-10-28 21:08:00-04:00;17.9;0.0;11.8;;Partially cloudy
1789;109;57218ba5498eb662eaa1e121;2017-10-28 21:56:00-04:00;17.7;0.0;7.0;;Partially cloudy
1792;109;57ab90ca498e7d61e13a6985;2017-11-02 16:26:00-04:00;21.9;0.0;7.1;;Clear
1798;109;555ba8d9498eae864d326936;2017-11-13 17:52:00-05:00;6.7;0.0;9.3;;Clear
1801;109;4b44a049f964a5201cf825e3;2017-11-17 02:59:00-05:00;6.0;0.0;20.9;;Partially cloudy
1807;109;49f75667f964a5208b6c1fe3;2017-11-25 21:45:00-05:00;11.8;0.0;12.1;;Partially cloudy
1811;109;4a411ea5f964a520cba41fe3;2017-12-02 22:58:00-05:00;6.8;0.0;3.4;;Partially cloudy
1820;109;4bc72ae7af07a593909c7e2d;2017-12-18 17:49:00-05:00;8.0;0.0;12.6;;Overcast
1826;109;57218ba5498eb662eaa1e121;2017-12-28 20:04:00-05:00;-9.2;0.0;25.2;;Clear
4507;240;4eb90d85722e09311d356915;2017-12-23 18:17:00-05:00;9.1;0.3;4.2;rain;Rain, Overcast
4507;240;58f9ec44eb645b5ea0ecdb64;2017-12-23 19:59:00-05:00;8.2;0.592;12.2;rain;Rain, Overcast
8022;432;4c374bf80a71c9b6f2893ec9;2017-10-25 14:44:00-04:00;18.1;0.0;2.1;;Partially cloudy
8022;432;3fd66200f964a52005e71ee3;2017-10-25 17:12:00-04:00;17.7;0.0;3.3;;Partially cloudy
8024;432;4bc72ae7af07a593909c7e2d;2017-11-01 16:07:00-04:00;13.1;0.0;9.4;;Partially cloudy
8024;432;57a240f1cd10ed172db51626;2017-11-01 16:37:00-04:00;13.7;0.0;8.8;;Partially cloudy
8026;432;4bc72ae7af07a593909c7e2d;2017-11-04 17:12:00-04:00;12.5;0.0;10.1;;Partially cloudy
8034;432;4bab56aff964a5209ea13ae3;2017-11-28 20:29:00-05:00;11.5;0.0;12.5;;Clear
8034;432;42893400f964a52054231fe3;2017-11-28 21:00:00-05:00;11.2;0.0;17.2;;Clear
8038;432;4bc24023461576b056237d32;2017-12-20 00:01:00-05:00;10.6;0.0;19.5;;Clear
8042;432;4bc24023461576b056237d32;2017-12-30 13:20:00-05:00;-6.1;0.3;3.7;snow;Snow, Partially cloudy
8049;432;50708c91e4b0d7b67f10bcaf;2018-05-06 22:39:00-04:00;14.3;0.0;3.8;;Overcast
8049;432;4bc24023461576b056237d32;2018-05-06 23:05:00-04:00;14.3;0.0;3.8;;Overcast
8536;463;4abe7f9ef964a520068e20e3;2017-10-12 16:19:00-04:00;17.5;0.0;21.0;;Partially cloudy
8536;463;4eb90d85722e09311d356915;2017-10-12 18:05:00-04:00;16.8;0.0;12.8;;Clear
8536;463;4a6fa0abf964a520a4d61fe3;2017-10-12 18:45:00-04:00;16.7;0.0;12.9;;Clear
8536;463;538a25cb498e3f763f518ab2;2017-10-12 19:04:00-04:00;16.7;0.0;12.9;;Clear
8536;463;4165d880f964a5207e1d1fe3;2017-10-12 20:21:00-04:00;16.1;0.0;12.0;;Clear
9294;512;4aad466df964a5206f5f20e3;2017-10-03 20:36:00-04:00;15.9;0.0;8.4;;Partially cloudy
9295;512;4ae8906ef964a52071b021e3;2017-10-04 19:39:00-04:00;22.0;0.0;13.2;;Clear
9295;512;4abe7f9ef964a520068e20e3;2017-10-04 20:45:00-04:00;21.5;0.0;23.1;;Clear
9295;512;4b831a73f964a520d7f730e3;2017-10-04 22:31:00-04:00;20.0;0.0;14.8;;Clear
14384;741;4b9146f5f964a52058af33e3;2018-03-03 19:41:00-05:00;5.1;0.0;25.5;;Overcast
14384;741;4b6b5abff964a520fb022ce3;2018-03-03 21:19:00-05:00;5.1;0.0;21.0;;Overcast
16100;820;4bc24023461576b056237d32;2018-10-13 12:44:00-04:00;11.3;0.0;19.6;;Overcast
16100;820;4b0c402af964a520c33923e3;2018-10-13 13:13:00-04:00;11.3;0.0;19.6;;Overcast
16100;820;4a675deef964a52045c91fe3;2018-10-14 01:06:00-04:00;9.8;0.0;10.7;;Clear
16100;820;59b8c291a795bd49fe94b6b3;2018-10-14 01:28:00-04:00;9.8;0.0;10.7;;Clear
16100;820;50bcb93ae4b0efcb4c84d434;2018-10-14 02:14:00-04:00;9.7;0.0;11.5;;Clear
16100;820;53eba911498e9b26cc64bdff;2018-10-14 03:12:00-04:00;9.5;0.0;14.0;;Clear
16101;820;4b44c958f964a52026fc25e3;2018-10-14 15:06:00-04:00;14.3;0.0;15.8;;Partially cloudy
16446;829;3fd66200f964a520daf11ee3;2017-12-20 20:00:00-05:00;3.2;0.0;9.1;;Partially cloudy
16446;829;597fd9ab1fa7630c4194e9d3;2017-12-21 00:19:00-05:00;1.4;0.0;12.6;;Clear
18932;944;4b6b5abff964a520fb022ce3;2017-10-07 00:58:00-04:00;22.5;0.0;0.0;;Partially cloudy
19386;971;4db3374590a0843f295fb69b;2017-10-04 17:31:00-04:00;22.8;0.0;19.3;;Clear
19390;971;52b0a990498eb3a992b89573;2017-10-10 14:50:00-04:00;26.5;0.0;18.9;;Partially cloudy
19390;971;578692f4498e1054905dbde7;2017-10-10 15:57:00-04:00;26.5;0.0;5.5;;Partially cloudy
19390;971;509dc336e4b05e06b48870c0;2017-10-10 17:00:00-04:00;26.6;0.0;9.6;;Clear
19391;971;576eab51cd10ae8e59db0250;2017-10-11 14:13:00-04:00;23.8;0.0;13.6;;Partially cloudy
19392;971;4ae5afa0f964a52076a121e3;2017-10-13 17:54:00-04:00;18.2;0.0;11.8;;Overcast
